City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
501,grand falls-windsor,48.9332,-55.6649,283.43,87,95,1.41,CA,1686620825
502,nicoya,10.1483,-85.452,299.38,87,93,0.74,CR,1686620825
503,barleben,52.2019,11.6177,285.82,71,0,0.79,DE,1686620826
504,nizhneangarsk,55.7833,109.55,285.73,46,100,3.26,RU,1686620826
505,kutum,14.2,24.6667,297.84,50,100,2.46,SD,1686620826
506,gilgit,35.9221,74.3087,295.81,54,100,0.61,PK,1686620651
507,ruidoso,33.3317,-105.673,295.91,10,0,8.23,US,1686620827
508,sisimiut,66.9395,-53.6735,272.68,86,21,3.05,GL,1686620827
509,madang,-5.2246,145.7966,303.32,68,42,2.8,PG,1686620827
510,lincoln city,44.9582,-124.0179,295.85,78,0,8.49,US,1686620828
511,tarifa,36.0139,-5.607,294.16,92,47,5.89,ES,1686620828
512,kokopo,-4.352,152.2633,303.45,64,13,5.01,PG,1686620828
513,floro,61.5996,5.0328,287.13,67,100,2.57,NO,1686620828
514,sulechow,52.0836,15.6251,286.29,40,39,2.15,PL,1686620540
515,kone,-21.0595,164.8658,299.46,47,10,2.1,NC,1686620829
516,alamogordo,32.8995,-105.9603,302.01,10,0,5.14,US,1686620814
517,mili,6.0815,171.735,301.55,80,100,7.7,MH,1686620829
518,novyye lapsary,56.0685,47.2142,280.99,76,0,2.0,RU,1686620829
519,chingola,-12.529,27.8838,288.15,53,67,1.24,ZM,1686620830
520,pudozh,61.8099,36.5345,282.62,67,100,2.32,RU,1686620830
521,dawei,14.0833,98.2,300.61,86,100,2.61,MM,1686620830
522,abalak,58.1286,68.5944,283.03,49,6,2.87,RU,1686620831
523,gaoping,30.7758,106.1029,299.66,67,100,2.81,CN,1686620831
524,beira,-19.8436,34.8389,292.2,93,0,3.13,MZ,1686620831
525,greymouth,-42.4667,171.2,286.08,58,13,1.38,NZ,1686620831
526,podgornoye,51.735,39.1496,283.27,71,0,4.0,RU,1686620832
527,erbil,36.1926,44.0106,296.05,28,0,3.09,IQ,1686620619
528,jieshi,22.8134,115.8257,301.79,74,98,3.36,CN,1686620832
529,gowurdak,37.8124,66.0466,303.9,18,4,1.93,TM,1686620833
530,chibougamau,49.9168,-74.3659,292.94,56,0,3.09,CA,1686620833
531,kropyvnytskyi,48.5132,32.2597,284.64,95,100,4.72,UA,1686620833
532,okha,53.5739,142.9478,281.46,88,99,3.96,RU,1686620833
533,quellon,-43.1167,-73.6167,275.29,93,75,1.54,CL,1686620834
534,maragogi,-9.0122,-35.2225,297.78,86,27,4.54,BR,1686620834
535,faya-largeau,17.9257,19.1043,305.16,36,5,1.79,TD,1686620834
536,hauterive,46.0901,3.4459,288.57,97,99,0.86,FR,1686620834
537,yaren,-0.5472,166.916,301.71,75,99,3.51,NR,1686620835
538,ambato boeny,-16.4667,46.7167,290.58,72,0,1.15,MG,1686620835
539,vernon,50.2581,-119.2691,306.35,27,33,1.54,CA,1686620835
540,las vegas,36.175,-115.1372,302.84,26,0,8.94,US,1686620280
541,kamyzyak,46.11,48.0736,294.14,68,0,2.0,RU,1686620836
542,krasnokamsk,58.0802,55.7541,281.24,62,0,1.34,RU,1686620836
543,kandahar,31.0,65.75,298.61,16,0,2.21,AF,1686620622
544,mount pearl,47.5166,-52.7813,280.84,94,100,9.26,CA,1686620836
545,tamanrasset,22.785,5.5228,301.1,28,40,1.54,DZ,1686620837
546,ploneour-lanvern,47.9,-4.2833,287.31,100,0,4.12,FR,1686620837
547,tlaltenango de sanchez roman,21.7833,-103.3167,301.87,22,72,2.64,MX,1686620837
548,westport,41.1415,-73.3579,293.3,92,100,3.6,US,1686620643
549,siwa oasis,29.2041,25.5195,299.44,40,0,6.86,EG,1686620837
550,carmi,38.0909,-88.1587,290.53,67,38,2.41,US,1686620838
551,orocovis,18.2271,-66.3917,298.16,97,16,1.39,PR,1686620838
552,djambala,-2.5447,14.7533,293.22,93,82,1.62,CG,1686620838
553,antofagasta,-23.65,-70.4,288.75,80,48,2.71,CL,1686620839
554,infantes,38.7367,-3.0122,290.94,53,94,3.4,ES,1686620839
555,tadine,-21.55,167.8833,295.76,63,52,5.5,NC,1686620839
556,chernogorsk,53.8236,91.2842,289.91,72,0,2.0,RU,1686620839
557,kavieng,-2.5744,150.7967,302.41,74,66,4.81,PG,1686620840
558,salmon arm,50.6998,-119.3024,305.77,35,60,0.51,CA,1686620840
559,saint-pierre,-21.3393,55.4781,295.69,73,0,2.06,RE,1686620840
560,richmond,37.5538,-77.4603,297.08,82,40,3.09,US,1686620130
561,nuku'alofa,-21.1333,-175.2,295.34,88,75,1.03,TO,1686620840
562,mugia,43.1041,-9.2179,290.46,95,100,2.31,ES,1686620841
563,suva,-18.1416,178.4415,296.86,94,75,0.0,FJ,1686620740
564,xingcheng,40.6167,120.7167,294.88,56,15,2.91,CN,1686620841
565,ust'-ordynskiy,52.805,104.7508,286.26,89,100,3.09,RU,1686620842
